post_id,platform,content,impressions,clicks
1,Twitter,"10 tips to grow your newsletter 🚀",45000,2700
2,Instagram,"Behind the scenes of our product launch",32000,480
3,LinkedIn,"Why I quit my 9-5 to build in public",88000,7040
4,Twitter,"New blog post: How we hit $10k MRR",21000,1890
5,Instagram,"Monday motivation quote #hustle",60000,300
6,LinkedIn,"Hiring! Senior engineer – fully remote",15000,975
7,Twitter,"Hot take: meetings are mostly unnecessary",70000,2100
8,Facebook,"Free webinar this Friday – link in bio",12000,1080
9,Instagram,"Product demo video – watch till the end!",27000,1890
10,LinkedIn,"Lessons from 100 cold emails (thread)",50000,4500
